# Bluetooth SIG Assigned Numbers, as sdrtop's signal::ble::assigned
# reads them. Generated by packaging/update-sig.sh; do not edit by
# hand. KIND<TAB>NUMBER<TAB>NAME: C a company identifier, S a 16-bit
# service UUID, the number in hex.
# fetched 2026-09-22
# source https://bitbucket.org/bluetooth-SIG/public company_identifiers.yaml rows 4035 sha256 7e9b9ce18e6a4fc9681856f1c224994843ca9273a223e74295c21624ec1d8bc5
# source https://bitbucket.org/bluetooth-SIG/public service_uuids.yaml rows 76 sha256 401d8e0962d2586dc2526e9ecedef40803c6e09b689767a526e86caa783c3166
C	009F	Suunto Oy
C	00A0	Kensington Computer Products Group
C	00A1	SR-Medizinelektronik
C	00A2	Vertu Corporation Limited
C	00A3	Meta Watch Ltd.
C	00A4	LINAK A/S
C	00A5	OTL Dynamics LLC
C	00A6	Panda Ocean Inc.
C	00A7	Visteon Corporation
C	00A8	ARP Devices Limited
C	00A9	MARELLI EUROPE S.P.A.
C	00AA	CAEN RFID srl
C	00AB	Ingenieur-Systemgruppe Zahn GmbH
C	00AC	Green Throttle Games
C	00AD	Peter Systemtechnik GmbH
C	00AE	Omegawave Oy
C	00AF	Cinetix
C	00B0	Passif Semiconductor Corp
C	00B1	Saris Cycling Group, Inc
C	00B2	Bekey A/S
C	00B3	Clarinox Technologies Pty. Ltd.
C	00B4	BDE Technology Co., Ltd.
C	00B5	Swirl Networks
C	00B6	Meso international
C	00B7	TreLab Ltd
C	00B8	Qualcomm Innovation Center, Inc. (QuIC)
C	00B9	Johnson Controls, Inc.
C	00BA	Starkey Hearing Technologies
C	00BB	S-Power Electronics Limited
C	00BC	Ace Sensor Inc
C	00BD	Aplix Corporation
C	00BE	AAMP of America
C	00BF	Stalmart Technology Limited
C	00C0	AMICCOM Electronics Corporation
C	00C1	Shenzhen Excelsecu Data Technology Co.,Ltd
C	00C2	Geneq Inc.
C	00C3	adidas AG
C	00C4	LG Electronics
C	00C5	Onset Computer Corporation
C	00C6	Selfly BV
C	00C7	Quuppa Oy.
C	00C8	GeLo Inc
C	00C9	Evluma
C	00CA	MC10
C	00CB	Binauric SE
C	00CC	Beats Electronics
C	00CD	Microchip Technology Inc.
C	00CE	Eve Systems GmbH
C	00CF	ARCHOS SA
C	00D0	Dexcom, Inc.
C	00D1	Polar Electro Europe B.V.
C	00D2	Renesas Design Netherlands B.V.
C	00D3	Taixingbang Technology (HK) Co,. LTD.
C	00D5	Austco Communication Systems
C	00D6	Timex Group USA, Inc.
C	00D7	Qualcomm Technologies, Inc.
C	00D8	Qualcomm Connected Experiences, Inc.
C	00D9	Voyetra Turtle Beach
C	00DA	txtr GmbH
C	00DB	Snuza (Pty) Ltd
C	00DC	Procter & Gamble
C	00DD	Hosiden Corporation
C	00DE	Muzik LLC
C	00DF	Misfit Wearables Corp
C	00E0	Google
C	00E1	Danlers Ltd
C	00E2	Semilink Inc
C	00E3	inMusic Brands, Inc
C	00E4	L.S. Research, Inc.
C	00E5	Eden Software Consultants Ltd.
C	00E7	KS Technologies
C	00E8	ACTS Technologies
C	00E9	Vtrack Systems
C	00EA	Nielsen-Kellerman
C	00EB	Server Technology Inc.
C	00EC	BioResearch Associates
C	00ED	Jolly Logic, LLC
C	00EE	Above Average Outcomes, Inc.
C	00EF	Bitsplitters GmbH
C	00F0	PayPal, Inc.
C	00F1	Witron Technology Limited
C	00F2	Morse Project Inc.
C	00F3	Kent Displays Inc.
C	00F4	Nautilus Inc.
C	00F5	Smartifier Oy
